sku,store_view_code,attribute_set_code
68775,"Fatale Eau de Parfum Spray 100ml"
1010,"Calvin Klein CK Obsession 100ml EDP Spray Ladies (EACH)"
1026,"DKNY Be Desired 100ml EDP Spray Ladies (EACH)"
1121,"FCUK Friction Him 100ml EDT Spray For Men (EACH)"
